# time,x,y,z
1.560801325563161850e+09,1.131399750709533691e+00,4.855420440435409546e-02,4.909324049949645996e-01
1.560801326062780380e+09,1.020406126976013184e+00,-1.041054073721170425e-02,8.860374093055725098e-01
1.560801326571384430e+09,1.073917865753173828e+00,1.062787231057882309e-02,1.042463898658752441e+00
1.560801327062111378e+09,1.043972492218017578e+00,-4.068336635828018188e-02,1.059859037399291992e+00
1.560801327561305285e+09,1.000383019447326660e+00,2.325690351426601410e-02,1.061263084411621094e+00
1.560801328061172962e+09,1.042829036712646484e+00,-2.831276692450046539e-02,1.048150181770324707e+00
1.560801328560469389e+09,9.897470474243164062e-01,1.341852010227739811e-03,9.809936881065368652e-01
1.560801329066327810e+09,9.560532569885253906e-01,8.346264809370040894e-02,1.017049670219421387e+00
1.560801329558773041e+09,9.782139658927917480e-01,1.264283526688814163e-02,1.013142704963684082e+00
1.560801330058974504e+09,9.812235832214355469e-01,-2.460265718400478363e-02,1.051455855369567871e+00
1.560801330559073210e+09,8.835800886154174805e-01,-3.520485479384660721e-04,1.223925232887268066e+00
1.560801331057088614e+09,9.436311721801757812e-01,-7.533974014222621918e-03,1.461150765419006348e+00
1.560801331557225466e+09,1.018833994865417480e+00,-1.482448074966669083e-02,1.485916018486022949e+00
1.560801332057489634e+09,9.657056927680969238e-01,-1.540557295083999634e-02,1.420730233192443848e+00
1.560801332557393551e+09,9.883509874343872070e-01,-1.035787537693977356e-02,1.425319910049438477e+00
1.560801333055091619e+09,1.002430558204650879e+00,-4.333140794187784195e-03,1.438132643699645996e+00
1.560801333554907322e+09,9.867756366729736328e-01,-7.757179439067840576e-03,1.410881280899047852e+00
1.560801334053852320e+09,9.553479552268981934e-01,-3.088448138441890478e-04,1.379186987876892090e+00
1.560801334557206869e+09,1.015669703483581543e+00,-1.942005194723606110e-02,1.431297421455383301e+00
1.560801335053076029e+09,9.859080910682678223e-01,8.234257809817790985e-03,1.435037374496459961e+00
1.560801335552360773e+09,7.279690504074096680e-01,1.566615328192710876e-02,1.423289060592651367e+00
1.560801336052521467e+09,1.534700989723205566e-01,4.249769449234008789e-02,1.403902173042297363e+00
1.560801336551725149e+09,8.492238819599151611e-02,-1.755385543219745159e-03,1.401603460311889648e+00
1.560801337050777674e+09,6.727357208728790283e-02,-3.366011008620262146e-02,1.363061428070068359e+00
1.560801337551672220e+09,-3.511495515704154968e-02,-8.562474697828292847e-02,1.401838183403015137e+00
1.560801338049736023e+09,-1.449644658714532852e-02,-3.665708005428314209e-02,1.403893470764160156e+00
1.560801338550065041e+09,-7.113698124885559082e-02,-6.756217777729034424e-02,1.410352826118469238e+00
1.560801339049530983e+09,-4.102609306573867798e-02,-5.968568101525306702e-02,1.418936848640441895e+00
1.560801339548206806e+09,-2.230073325335979462e-02,2.338167466223239899e-02,1.322955608367919922e+00
1.560801340048622370e+09,-3.898074477910995483e-02,-4.164114966988563538e-02,1.388279318809509277e+00
1.560801340547651291e+09,-2.166431862860918045e-03,-2.314549498260021210e-02,1.444688320159912109e+00
1.560801341054402590e+09,-5.044114589691162109e-02,2.062676101922988892e-02,1.430733084678649902e+00
1.560801341546261787e+09,-7.285996340215206146e-03,2.143274433910846710e-02,1.386025667190551758e+00
1.560801342046405315e+09,-2.086031064391136169e-02,-3.424496203660964966e-02,1.422982454299926758e+00
1.560801342545895576e+09,-6.728080334141850471e-04,-3.293709363788366318e-03,1.432267785072326660e+00
1.560801343045310020e+09,3.686172142624855042e-02,3.124312683939933777e-02,1.378508925437927246e+00
1.560801343545163870e+09,-4.621013626456260681e-02,-1.976361125707626343e-02,1.383032202720642090e+00
1.560801344050540686e+09,2.396512404084205627e-02,3.090025484561920166e-02,1.418266415596008301e+00
1.560801344544536352e+09,2.234445698559284210e-02,1.761760376393795013e-02,1.389137506484985352e+00
1.560801345043806791e+09,-1.994281448423862457e-02,-1.546089723706245422e-02,1.486424326896667480e+00
1.560801345542887449e+09,-1.363898366689682007e-01,7.953307032585144043e-02,1.435684204101562500e+00
1.560801346042430162e+09,-5.089940428733825684e-01,-1.051509566605091095e-02,1.442595124244689941e+00
1.560801346541353703e+09,-4.953812360763549805e-01,1.504824217408895493e-02,1.396282434463500977e+00
1.560801347041295052e+09,-4.662253558635711670e-01,-1.729671470820903778e-02,1.320511341094970703e+00
1.560801347542886734e+09,-4.967611730098724365e-01,-1.774099096655845642e-02,1.367589592933654785e+00
1.560801348043633938e+09,-4.677181541919708252e-01,-4.458359256386756897e-02,1.407642960548400879e+00
1.560801348539871216e+09,-5.731503367424011230e-01,2.391904965043067932e-02,1.431158781051635742e+00
1.560801349040500164e+09,-5.451155304908752441e-01,1.888885162770748138e-02,1.361335754394531250e+00
1.560801349538576603e+09,-5.874641537666320801e-01,-4.240849614143371582e-02,1.337158560752868652e+00
1.560801350039589643e+09,-5.383586287498474121e-01,4.781525582075119019e-02,1.364860415458679199e+00
1.560801350538454056e+09,-4.032093882560729980e-01,-5.255546793341636658e-02,1.327404141426086426e+00
1.560801351037729740e+09,6.147243827581405640e-02,1.504889689385890961e-03,1.366282105445861816e+00
1.560801351539172649e+09,-5.402919650077819824e-02,5.080106109380722046e-02,1.382228732109069824e+00
1.560801352037328482e+09,-1.098127737641334534e-01,6.814168393611907959e-02,1.403324127197265625e+00
1.560801352536059618e+09,1.056109089404344559e-02,4.456434398889541626e-02,1.454216599464416504e+00
1.560801353035624981e+09,-7.319379132241010666e-03,-5.169188231229782104e-02,1.384365677833557129e+00
1.560801353535084248e+09,-1.159836445003747940e-02,5.555677413940429688e-02,1.374166965484619141e+00
1.560801354034027338e+09,2.384376898407936096e-02,9.747635573148727417e-03,1.405722498893737793e+00
1.560801354532824278e+09,-2.723387256264686584e-02,-1.122199371457099915e-02,1.470922946929931641e+00
1.560801355032958984e+09,3.367079794406890869e-02,-1.445545465685427189e-03,1.425651192665100098e+00
1.560801355534236670e+09,7.011418044567108154e-02,-1.752598024904727936e-02,1.350983142852783203e+00
1.560801356032363176e+09,4.224504232406616211e-01,-2.352310903370380402e-02,1.231752038002014160e+00
1.560801356532388926e+09,5.001291632652282715e-01,-1.385226473212242126e-02,1.227113604545593262e+00
1.560801357031840086e+09,4.622729420661926270e-01,-1.236358284950256348e-02,1.164068818092346191e+00
1.560801357531203032e+09,4.906591176986694336e-01,2.707737311720848083e-02,1.164428234100341797e+00
1.560801358031152964e+09,4.603343307971954346e-01,-7.262258790433406830e-03,1.170210838317871094e+00
1.560801358529750109e+09,5.086635351181030273e-01,1.362207904458045959e-02,1.182254791259765625e+00
1.560801359033182859e+09,4.956546425819396973e-01,-1.167777460068464279e-02,1.201031088829040527e+00
1.560801359529536009e+09,5.228407382965087891e-01,-1.901739649474620819e-02,1.229909062385559082e+00
1.560801360027268648e+09,4.644822478294372559e-01,-1.409756205976009369e-02,1.158834576606750488e+00
1.560801360527505398e+09,5.559848546981811523e-01,1.824711263179779053e-02,1.059212207794189453e+00
1.560801361027759552e+09,9.102175831794738770e-01,-2.817606739699840546e-02,5.188090205192565918e-01
1.560801361526393175e+09,9.418376684188842773e-01,-1.088914112187922001e-03,3.867577314376831055e-01
1.560801362027073383e+09,9.029815793037414551e-01,-4.607575014233589172e-02,3.007314801216125488e-01
1.560801362529290199e+09,9.437130093574523926e-01,2.561587141826748848e-03,3.333170115947723389e-01
1.560801363025412560e+09,1.029482364654541016e+00,-3.599093481898307800e-02,3.291695713996887207e-01
1.560801363524638414e+09,1.040732264518737793e+00,-1.208034995943307877e-02,3.410393297672271729e-01
1.560801364023980379e+09,9.804669022560119629e-01,5.228435620665550232e-02,3.708859086036682129e-01
1.560801364524069309e+09,1.073377966880798340e+00,9.560678154230117798e-03,3.520967364311218262e-01
1.560801365023173809e+09,1.049245238304138184e+00,-2.971863932907581329e-02,2.865406274795532227e-01
